2021-06-25 19:32:11 status half-installed findutils:armhf 4.8.0-1ubuntu1
2021-06-25 19:32:11 status unpacked findutils:armhf 4.8.0-1ubuntu1
2021-06-25 19:32:11 install gcc-11-base:armhf <none> 11-20210417-1ubuntu1
2021-06-25 19:32:11 status half-installed gcc-11-base:armhf 11-20210417-1ubuntu1
2021-06-25 19:32:11 status unpacked gcc-11-base:armhf 11-20210417-1ubuntu1
2021-06-25 19:32:11 install grep:armhf <none> 3.6-1
2021-06-25 19:32:11 status half-installed grep:armhf 3.6-1
2021-06-25 19:32:11 status unpacked grep:armhf 3.6-1
2021-06-25 19:32:11 install gzip:armhf <none> 1.10-2ubuntu3
2021-06-25 19:32:11 status half-installed gzip:armhf 1.10-2ubuntu3
2021-06-25 19:32:11 status unpacked gzip:armhf 1.10-2ubuntu3
2021-06-25 19:32:11 install hostname:armhf <none> 3.23
2021-06-25 19:32:11 status half-installed hostname:armhf 3.23
2021-06-25 19:32:11 status unpacked hostname:armhf 3.23
2021-06-25 19:32:11 install init-system-helpers:all <none> 1.60
2021-06-25 19:32:11 status half-installed init-system-helpers:all 1.60
2021-06-25 19:32:11 status unpacked init-system-helpers:all 1.60
2021-06-25 19:32:11 install libacl1:armhf <none> 2.2.53-10ubuntu1
2021-06-25 19:32:11 status half-installed libacl1:armhf 2.2.53-10ubuntu1
2021-06-25 19:32:11 status unpacked libacl1:armhf 2.2.53-10ubuntu1
2021-06-25 19:32:11 install libattr1:armhf <none> 1:2.4.48-6build1
2021-06-25 19:32:11 status half-installed libattr1:armhf 1:2.4.48-6build1
2021-06-25 19:32:11 status unpacked libattr1:armhf 1:2.4.48-6build1
2021-06-25 19:32:11 install libaudit-common:all <none> 1:3.0-2ubuntu1
2021-06-25 19:32:11 status half-installed libaudit-common:all 1:3.0-2ubuntu1
2021-06-25 19:32:11 status unpacked libaudit-common:all 1:3.0-2ubuntu1
2021-06-25 19:32:11 install libaudit1:armhf <none> 1:3.0-2ubuntu1
2021-06-25 19:32:11 status half-installed libaudit1:armhf 1:3.0-2ubuntu1
2021-06-25 19:32:11 status unpacked libaudit1:armhf 1:3.0-2ubuntu1
2021-06-25 19:32:11 install libblkid1:armhf <none> 2.36.1-7ubuntu2
2021-06-25 19:32:11 status half-installed libblkid1:armhf 2.36.1-7ubuntu2
2021-06-25 19:32:11 status unpacked libblkid1:armhf 2.36.1-7ubuntu2
2021-06-25 19:32:11 install libbz2-1.0:armhf <none> 1.0.8-4ubuntu3
2021-06-25 19:32:11 status half-installed libbz2-1.0:armhf 1.0.8-4ubuntu3
2021-06-25 19:32:11 status unpacked libbz2-1.0:armhf 1.0.8-4ubuntu3
2021-06-25 19:32:11 install libc-bin:armhf <none> 2.33-0ubuntu5
2021-06-25 19:32:11 status half-installed libc-bin:armhf 2.33-0ubuntu5
2021-06-25 19:32:11 status unpacked libc-bin:armhf 2.33-0ubuntu5
2021-06-25 19:32:11 upgrade libc6:armhf 2.33-0ubuntu5 2.33-0ubuntu5
2021-06-25 19:32:11 status half-configured libc6:armhf 2.33-0ubuntu5
2021-06-25 19:32:11 status unpacked libc6:armhf 2.33-0ubuntu5
2021-06-25 19:32:11 status half-installed libc6:armhf 2.33-0ubuntu5
2021-06-25 19:32:12 status unpacked libc6:armhf 2.33-0ubuntu5
2021-06-25 19:32:12 install libcap-ng0:armhf <none> 0.7.9-2.2build1
2021-06-25 19:32:12 status half-installed libcap-ng0:armhf 0.7.9-2.2build1
2021-06-25 19:32:12 status unpacked libcap-ng0:armhf 0.7.9-2.2build1
2021-06-25 19:32:12 install libcap2:armhf <none> 1:2.44-1build1
2021-06-25 19:32:12 status half-installed libcap2:armhf 1:2.44-1build1
2021-06-25 19:32:12 status unpacked libcap2:armhf 1:2.44-1build1
2021-06-25 19:32:12 install libcom-err2:armhf <none> 1.45.7-1ubuntu2
2021-06-25 19:32:12 status half-installed libcom-err2:armhf 1.45.7-1ubuntu2
2021-06-25 19:32:12 status unpacked libcom-err2:armhf 1.45.7-1ubuntu2
2021-06-25 19:32:12 install libcrypt1:armhf <none> 1:4.4.17-1ubuntu3
2021-06-25 19:32:12 status half-installed libcrypt1:armhf 1:4.4.17-1ubuntu3
2021-06-25 19:32:12 status unpacked libcrypt1:armhf 1:4.4.17-1ubuntu3
2021-06-25 19:32:13 install libdb5.3:armhf <none> 5.3.28+dfsg1-0.6ubuntu4
2021-06-25 19:32:13 status half-installed libdb5.3:armhf 5.3.28+dfsg1-0.6ubuntu4
